"Fruity Mellow Rice Treat [75mg]",CC-W-0020,12,,58057,2020-01-05T22:20:09
"High CBD Glycerin Tincture (1oz) [400mg]",CH-W-0004,6,,58057,2020-01-05T22:20:09
"Super Mega Brownie [225mg]",AE-W-0046,12,INDICA,58057,2020-01-05T22:20:09
"Medical Gummies - MiniPak [6x15mg]",CB-W-0010,12,INDICA,58057,2020-01-05T22:20:09
"Medical Gummies [15x15mg]",CB-W-0009,12,INDICA,58057,2020-01-05T22:20:09
"Medical Fudge Brownie [150mg]",AE-W-0048,24,INDICA,58057,2020-01-05T22:20:09
"Basic Brownie [75mg]",AE-W-0044,24,INDICA,58057,2020-01-05T22:20:09
"Just Apple Juice (8oz) [100mg]",PS-W-0007,6,,58057,2020-01-05T22:20:09
"Prickly Lemonade Juice Blend (8oz) [100mg]",PS-W-0014,6,,58057,2020-01-05T22:20:09
"Medical Gummies - MiniPak [6x15mg]",CB-W-0010,12,Sativa,58057,2020-01-05T22:20:09
"Medical Gummies [15x15mg]",CB-W-0009,12,Sativa,58057,2020-01-05T22:20:09
"Medical Fudge Brownie [150mg]",AE-W-0048,24,Sativa,58057,2020-01-05T22:20:09
"Hibiscus Citrus Juice Blend (8oz) [100mg]",PS-W-0009,6,,58056,2020-01-05T22:00:08
"Medical Gummies - MiniPak [6x15mg]",CB-W-0010,12,INDICA,58056,2020-01-05T22:00:08
"Medical Gummies [15x15mg]",CB-W-0009,12,INDICA,58056,2020-01-05T22:00:08
"Prickly Lemonade Juice Blend (8oz) [100mg]",PS-W-0014,6,,58056,2020-01-05T22:00:08
"Medical Gummies - MiniPak [6x15mg]",CB-W-0010,12,Sativa,58056,2020-01-05T22:00:08
"Medical Gummies [15x15mg]",CB-W-0009,12,Sativa,58056,2020-01-05T22:00:08
"420ยบ Hot Sauce (5oz) [200mg]",CB-W-0013,12,,58055,2020-01-05T13:36:09
"Gluten Free Brownie [100mg]",AE-W-0045,12,,58055,2020-01-05T13:36:09
"High CBD Glycerin Tincture (1/2oz) [200mg]",CH-W-0003,24,,58055,2020-01-05T13:36:09
"High CBD Glycerin Tincture (1oz) [400mg]",CH-W-0004,12,,58055,2020-01-05T13:36:09
"THC Glycerin Tincture (1/2oz) [200mg]",CH-W-0005,24,INDICA,58055,2020-01-05T13:36:09
"Super Mega Brownie [225mg]",AE-W-0046,24,INDICA,58055,2020-01-05T13:36:09
"Medical Gummies [15x15mg]",CB-W-0009,48,INDICA,58055,2020-01-05T13:36:09
"Medical Fudge Brownie [150mg]",AE-W-0048,24,INDICA,58055,2020-01-05T13:36:09
"Basic Brownie [75mg]",AE-W-0044,48,INDICA,58055,2020-01-05T13:36:09
"THC Glycerin Tincture (1oz) [400mg]",CH-W-0006,6,Sativa,58055,2020-01-05T13:36:09
"THC Glycerin Tincture (1/2oz) [200mg]",CH-W-0005,12,Sativa,58055,2020-01-05T13:36:09
"Super Mega Brownie [225mg]",AE-W-0046,12,Sativa,58055,2020-01-05T13:36:09
"Medical Gummies [15x15mg]",CB-W-0009,24,Sativa,58055,2020-01-05T13:36:09
"Medical Fudge Brownie [150mg]",AE-W-0048,36,Sativa,58055,2020-01-05T13:36:09
"Flower Pop (Assorted) [50mg]",CC-W-0031,24,,58054,2020-01-05T12:44:09
"Medical Fudge Brownie [150mg]",AE-W-0048,12,INDICA,58054,2020-01-05T12:44:09
"Basic Brownie [75mg]",AE-W-0044,24,INDICA,58054,2020-01-05T12:44:09
"Medical Fudge Brownie [150mg]",AE-W-0048,12,Sativa,58054,2020-01-05T12:44:09
"Basic Brownie [75mg]",AE-W-0044,24,Sativa,58054,2020-01-05T12:44:09
"Hibiscus Citrus Juice Blend (8oz) [100mg]",PS-W-0009,6,,58053,2020-01-05T10:52:08
"High CBD Glycerin Tincture (1oz) [400mg]",CH-W-0004,6,,58053,2020-01-05T10:52:08
"High CBD Ointment (2oz) [350mg]",CH-W-0008,12,,58053,2020-01-05T10:52:08
"Medical Fudge Brownie [150mg]",AE-W-0048,24,INDICA,58053,2020-01-05T10:52:08
"Daily Dose Brownie [25mg]",AE-W-0085,36,INDICA,58053,2020-01-05T10:52:08
"Basic Brownie [75mg]",AE-W-0044,36,INDICA,58053,2020-01-05T10:52:08
"Just Apple Juice (8oz) [100mg]",PS-W-0007,6,,58053,2020-01-05T10:52:08
"Just Orange Juice (8oz) [100mg]",PS-W-0006,6,,58053,2020-01-05T10:52:08
"Lemon Blondie [100mg]",AE-W-0053,12,,58053,2020-01-05T10:52:08
"Prickly Lemonade Juice Blend (8oz) [100mg]",PS-W-0014,6,,58053,2020-01-05T10:52:08
"Daily Dose Brownie [25mg]",AE-W-0085,12,Sativa,58053,2020-01-05T10:52:08
"Basic Brownie [75mg]",AE-W-0044,24,Sativa,58053,2020-01-05T10:52:08
"Medical Fudge Brownie [150mg]",AE-W-0048,12,INDICA,58052,2020-01-04T20:00:08
"Daily Dose Gummies [2x15mg]",CB-W-0021,24,INDICA,58052,2020-01-04T20:00:08
"Basic Brownie [75mg]",AE-W-0044,36,INDICA,58052,2020-01-04T20:00:08
"Medical Fudge Brownie [150mg]",AE-W-0048,36,Sativa,58052,2020-01-04T20:00:08
"Daily Dose Brownie [25mg]",AE-W-0085,288,Sativa,58052,2020-01-04T20:00:08
"Basic Brownie [75mg]",AE-W-0044,24,Sativa,58052,2020-01-04T20:00:08
"Cocoa Mellow Rice Treat [75mg]",CC-W-0022,12,,58051,2020-01-04T12:44:08
"Daily Dose Cocoa Mellow Rice Treat [25mg]",CC-W-0045,12,,58051,2020-01-04T12:44:08
"Daily Dose Fruity Mellow Rice Treat [25mg]",CC-W-0043,12,,58051,2020-01-04T12:44:08
"Fruity Mellow Rice Treat [75mg]",CC-W-0020,12,,58051,2020-01-04T12:44:08
"Hemp CBD Ointment (1/2oz) [80mg]",CH-W-0029,24,,58051,2020-01-04T12:44:08
"High CBD Glycerin Tincture (1oz) [400mg]",CH-W-0004,6,,58051,2020-01-04T12:44:08
"High CBD Ointment (2oz) [350mg]",CH-W-0008,12,,58051,2020-01-04T12:44:08
"High CBD Ointment (4oz) [700mg]",CH-W-0007,12,,58051,2020-01-04T12:44:08
"THC Glycerin Tincture (1oz) [400mg]",CH-W-0006,6,INDICA,58051,2020-01-04T12:44:08
"THC Glycerin Tincture (1/2oz) [200mg]",CH-W-0005,12,INDICA,58051,2020-01-04T12:44:08
"Daily Dose Gummies [2x15mg]",CB-W-0021,36,INDICA,58051,2020-01-04T12:44:08
"Pain Re-leaf Ointment (2oz) [350mg]",CH-W-0011,12,,58051,2020-01-04T12:44:08
"Pain Re-leaf Ointment (4oz) [700mg]",CH-W-0010,6,,58051,2020-01-04T12:44:08
"Rasta Mellow Rice Treat [75mg]",CC-W-0021,12,,58051,2020-01-04T12:44:08
"Daily Dose Gummies [2x15mg]",CB-W-0021,24,Sativa,58051,2020-01-04T12:44:08
"Daily Dose Cocoa Mellow Rice Treat [25mg]",CC-W-0045,48,,58050,2020-01-04T12:36:08
"Daily Dose Fruity Mellow Rice Treat [25mg]",CC-W-0043,48,,58050,2020-01-04T12:36:08
"Daily Dose Rasta Mellow Rice Treat [25mg]",CC-W-0041,48,,58050,2020-01-04T12:36:08
"Daily Dose Gummies [2x15mg]",CB-W-0021,36,INDICA,58050,2020-01-04T12:36:08
"Daily Dose Brownie [25mg]",AE-W-0085,36,INDICA,58050,2020-01-04T12:36:08
"Pain Re-leaf Ointment (4oz) [700mg]",CH-W-0010,6,,58050,2020-01-04T12:36:08
"Daily Dose Gummies [2x15mg]",CB-W-0021,12,Sativa,58050,2020-01-04T12:36:08
"Daily Dose Brownie [25mg]",AE-W-0085,12,Sativa,58050,2020-01-04T12:36:08
"Super Mega Brownie [225mg] - Indica",AE-W-0046,36,indica,58049,2020-01-03T16:31:49
"Super Mega Brownie [225mg] - Sativa",AE-W-0046,24,sativa,58049,2020-01-03T16:31:49
"Daily Dose Brownie [25mg] - Indica",AE-W-0085,24,indica,58049,2020-01-03T16:31:49
"Daily Dose Brownie [25mg] - Sativa",AE-W-0085,12,sativa,58049,2020-01-03T16:31:49
"Basic Brownie [75mg] - Indica",AE-W-0044,24,indica,58049,2020-01-03T16:31:49
"Medical Fudge Brownie [150mg] - Indica",AE-W-0048,24,indica,58049,2020-01-03T16:31:49
"Medical Fudge Brownie [150mg] - Sativa",AE-W-0048,12,sativa,58049,2020-01-03T16:31:49
"High CBD Glycerin Tincture (1oz) [400mg]",CH-W-0004,12,,58049,2020-01-03T16:31:49
"THC Glycerin Tincture (1oz) [400mg] - Indica",CH-W-0006,24,indica,58049,2020-01-03T16:31:49
"Pain Re-leaf Ointment (2oz) [350mg]",CH-W-0011,24,,58049,2020-01-03T16:31:49
"High CBD Ointment (2oz) [350mg]",CH-W-0008,24,,58049,2020-01-03T16:31:49
"Super Mega Brownie [225mg] - Indica",AE-W-0046,12,indica,58048,2020-01-03T11:48:31
"Super Mega Brownie [225mg] - Sativa",AE-W-0046,12,sativa,58048,2020-01-03T11:48:31
"Super Mega Brownie [225mg] - Indica",AE-W-0046,12,indica,58047,2020-01-03T11:43:12
"Super Mega Brownie [225mg] - Sativa",AE-W-0046,12,sativa,58047,2020-01-03T11:43:12
"Hemp CBD Ointment (1/2oz) [80mg]",CH-W-0029,24,,58046,2020-01-03T10:08:16
"Hibiscus Citrus Juice Blend (8oz) [100mg]",PS-W-0009,6,,58046,2020-01-03T10:08:16
"High CBD Glycerin Tincture (1oz) [400mg]",CH-W-0004,6,,58046,2020-01-03T10:08:16
"High CBD Glycerin Tincture (2oz) [800mg]",CH-W-0032,6,,58046,2020-01-03T10:08:16
"High CBD Muscle and Joint Therapy Roll-On (1/3oz) [50mg]",CH-W-0014,6,,58046,2020-01-03T10:08:16
"High CBD Ointment (1/2oz) [80mg]",CH-W-0028,24,,58046,2020-01-03T10:08:16
"High CBD Ointment (4oz) [700mg]",CH-W-0007,6,,58046,2020-01-03T10:08:16
"THC Glycerin Tincture (1oz) [400mg] - Indica",CH-W-0006,12,indica,58046,2020-01-03T10:08:16
"Pain Re-Leaf Ointment (1/2oz) [80mg]",CH-W-0027,24,,58046,2020-01-03T10:08:16
"Pain Re-leaf Ointment (4oz) [700mg]",CH-W-0010,6,,58046,2020-01-03T10:08:16
"THC Glycerin Tincture (1oz) [400mg] - Sativa",CH-W-0006,6,sativa,58046,2020-01-03T10:08:16
"SAMPLE - Chai Tea with Hemp Milk (8oz) [50mg]",PS-S-0021,12,,58045,2020-01-03T09:38:16
"SAMPLE - Just Apple Juice (8oz) [100mg]",PS-S-0007,1,,58044,2020-01-03T09:04:47
"Cocoa Mellow Rice Treat [75mg]",CC-W-0022,12,,58043,2020-01-02T18:00:08
"Fruity Mellow Rice Treat [75mg]",CC-W-0020,12,,58043,2020-01-02T18:00:08
"Super Mega Brownie [225mg]",AE-W-0046,12,INDICA,58043,2020-01-02T18:00:08
"Brownie Bites [100mg]",AE-W-0060,24,INDICA,58043,2020-01-02T18:00:08
"Lemon Blondie [100mg]",AE-W-0053,12,,58043,2020-01-02T18:00:08
"Lemon Haze Cookies [4x25mg]",AE-W-0049,12,,58043,2020-01-02T18:00:08
"Peanut Budder Cookies [4x25mg]",AE-W-0052,12,,58043,2020-01-02T18:00:08
"Rasta Mellow Rice Treat [75mg]",CC-W-0021,12,,58043,2020-01-02T18:00:08
"Super Mega Brownie [225mg]",AE-W-0046,12,Sativa,58043,2020-01-02T18:00:08
"Brownie Bites [100mg]",AE-W-0060,12,Sativa,58043,2020-01-02T18:00:08
"Cold Brew Coffee (8oz) [50mg]",PS-W-0019,24,,58041,2020-01-02T13:48:44
"Cold Brew Coffee (8oz) [50mg]",PS-W-0019,12,,58040,2020-01-02T13:46:35
"High CBD Ointment (2oz) [350mg]",CH-W-0008,24,,58039,2020-01-02T13:04:08
"Super Mega Brownie [225mg]",AE-W-0046,12,INDICA,58039,2020-01-02T13:04:08
"Daily Dose Brownie [25mg]",AE-W-0085,12,INDICA,58039,2020-01-02T13:04:08
"Brownie Bites [100mg]",AE-W-0060,12,INDICA,58039,2020-01-02T13:04:08
"Basic Brownie [75mg]",AE-W-0044,12,INDICA,58039,2020-01-02T13:04:08
"Lemon Blondie [100mg]",AE-W-0053,12,,58039,2020-01-02T13:04:08
"Pain Re-leaf Ointment (2oz) [350mg]",CH-W-0011,12,,58039,2020-01-02T13:04:08
"Super Mega Brownie [225mg]",AE-W-0046,12,Sativa,58039,2020-01-02T13:04:08
"Daily Dose Brownie [25mg]",AE-W-0085,12,Sativa,58039,2020-01-02T13:04:08
"Brownie Bites [100mg]",AE-W-0060,12,Sativa,58039,2020-01-02T13:04:08
"Basic Brownie [75mg]",AE-W-0044,12,Sativa,58039,2020-01-02T13:04:08
"Daily Dose Brownie [25mg] - Indica",AE-W-0085,24,indica,58038,2020-01-02T12:37:57
"Daily Dose Brownie [25mg] - Sativa",AE-W-0085,24,sativa,58038,2020-01-02T12:37:57
"Basic Brownie [75mg] - Indica",AE-W-0044,24,indica,58038,2020-01-02T12:37:57
"Basic Brownie [75mg] - Sativa",AE-W-0044,36,sativa,58038,2020-01-02T12:37:57
"Medical Fudge Brownie [150mg] - Indica",AE-W-0048,36,indica,58038,2020-01-02T12:37:57
"Medical Fudge Brownie [150mg] - Sativa",AE-W-0048,12,sativa,58038,2020-01-02T12:37:57
"Super Mega Brownie [225mg] - Indica",AE-W-0046,36,indica,58038,2020-01-02T12:37:57
"Super Mega Brownie [225mg] - Sativa",AE-W-0046,36,sativa,58038,2020-01-02T12:37:57
"Brownie Bites [100mg] - Indica",AE-W-0060,24,indica,58038,2020-01-02T12:37:57
"Daily Dose Gummies [2x15mg] - Indica",CB-W-0021,24,indica,58038,2020-01-02T12:37:57
"Medical Gummies - MiniPak [6x15mg] - Indica",CB-W-0010,24,indica,58038,2020-01-02T12:37:57
"Medical Gummies - MiniPak [6x15mg] - Sativa",CB-W-0010,36,sativa,58038,2020-01-02T12:37:57
"Medical Gummies [15x15mg] - Indica",CB-W-0009,24,indica,58038,2020-01-02T12:37:57
"Medical Gummies [15x15mg] - Sativa",CB-W-0009,48,sativa,58038,2020-01-02T12:37:57
"THC Glycerin Tincture (1oz) [400mg] - Indica",CH-W-0006,12,indica,58038,2020-01-02T12:37:57
"THC Glycerin Tincture (2oz) [800mg] - Indica",CH-W-0031,6,indica,58038,2020-01-02T12:37:57
"THC Glycerin Tincture (2oz) [800mg] - Sativa",CH-W-0031,6,sativa,58038,2020-01-02T12:37:57
"High CBD Glycerin Tincture (2oz) [800mg]",CH-W-0032,6,,58038,2020-01-02T12:37:57
"High CBD Ointment (4oz) [700mg]",CH-W-0007,6,,58038,2020-01-02T12:37:57
"Pain Re-leaf Ointment (4oz) [700mg]",CH-W-0010,6,,58038,2020-01-02T12:37:57
"Daily Dose Gummies [2x15mg] - Indica",CB-W-0021,204,indica,58037,2020-01-02T11:33:37
"SAMPLE - High CBD Glycerin Tincture (1/2oz) [200mg]",CH-S-0003,1,,58036,2020-01-02T10:47:08
"SAMPLE - THC Glycerin Tincture (1/2oz) [200mg]",CH-S-0005,1,,58036,2020-01-02T10:47:08
"SAMPLE - Cannakiss Healing Lip Balm (.15oz)  [25mg]",CH-S-0001,2,,58036,2020-01-02T10:47:08
"SAMPLE - Pain Re-Leaf Ointment (1/2oz) [80mg]",CH-S-0027,2,,58036,2020-01-02T10:47:08
"SAMPLE - High CBD Ointment (1/2oz) [80mg]",CH-S-0028,2,,58036,2020-01-02T10:47:08
"SAMPLE - Hemp CBD Ointment (1/2oz) [80mg CBD]",CH-S-0029-1,2,,58036,2020-01-02T10:47:08
"SAMPLE - Muscle and Joint Therapy Roll-On (1/3oz) [50mg]",CH-S-0016,2,,58036,2020-01-02T10:47:08
"SAMPLE - High CBD Muscle and Joint Therapy Roll-On (1/3oz) [50mg]",CH-S-0014,2,,58036,2020-01-02T10:47:08
